"parcel","owner_name","property_address","city","state","postal_code","signal_type","distress_stage","amount","event_date","case_number","record_url","notes"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0303422Z","watch-link-1","https://maricopa.arizonataxsale.com/","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0311671Z","watch-link-2","https://recorder.maricopa.gov/","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0312190Z","watch-link-3","https://treasurer.maricopa.gov/","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0312450Z","watch-link-4","https://treasurer.maricopa.gov/AboutTreasurer","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0312673Z","watch-link-5","https://treasurer.maricopa.gov/AgencyWeb","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0312889Z","watch-link-6","https://treasurer.maricopa.gov/ContactUs","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0313105Z","watch-link-7","https://treasurer.maricopa.gov/CorporateServices","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0313316Z","watch-link-8","https://treasurer.maricopa.gov/FAQ","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0313528Z","watch-link-9","https://treasurer.maricopa.gov/FeeSchedule","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0313742Z","watch-link-10","https://treasurer.maricopa.gov/FormLibrary","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0313948Z","watch-link-11","https://treasurer.maricopa.gov/GlossaryOfTerms","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0314156Z","watch-link-12","https://treasurer.maricopa.gov/GPLET","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0314363Z","watch-link-13","https://treasurer.maricopa.gov/Mobile","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0314570Z","watch-link-14","https://treasurer.maricopa.gov/payment/","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0314777Z","watch-link-15","https://treasurer.maricopa.gov/PropertyTaxInformation/","treasurer/tax-deed watch source link"
"","","","Maricopa County","AZ","","tax_delinquent","monitoring","","2026-02-17T23:08:05.0314983Z","watch-link-16","https://treasurer.maricopa.gov/PropertyTaxInformation/calendar","treasurer/tax-deed watch source link"
